,Cp1,Cp2,Cp3,Cp4,Cp5,Cp6,Cp7,Cp9,Cp11,Ca2,Ca3,Ca5,Ca7,Ca9,Ca10,Ca11,Ca12,Ca13,Ca14,Ca15,Ca16,Ca17,Ca18,Ca19,Ca20,Ca21,Ca22,Ca23,Ca24,Ca25,Ca26,Ca27,Ca28,Ca29,Ca30,Ca31
22:1n-9,0.55,0.55,2.5,0.82,0.38,0.43,2.07,0.58,0.84,2.5,2.51,2.57,6.37,2.13,2.62,NA,2.5,NA,NA,NA,1.98,3.03,2.01,2.18,2.3,2.4,2.44,2.61,2.6,2.67,2.72,2.74,3.59,2.2,2.77,2.82
22:1n-7,0.26,0.19,0.32,0.23,0.23,0.2,0.32,0.29,0.25,0.48,0.32,0.33,0.33,0.26,0.4,NA,0.36,NA,NA,NA,0.28,0.48,0.42,0.4,0.35,0.45,0,0.35,0.35,0.42,0.41,0.31,0.37,0.4,0.51,0.43
21:5n-3,0,0,0,0,0,0,0,0,0.32,0.11,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.03,0.08,0.05,0.09,0,0,0,0
23:00,0.19,0.25,0.48,0.42,0.76,0.13,1.16,0.67,0.18,0.03,0.07,0.08,0.07,0.09,0.11,NA,0.07,NA,NA,NA,0.19,0.03,0.31,0.06,0,0.1,0,0.06,0.02,0.2,0.09,0.15,0,0.08,0.15,0.12
22:4n-6?,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0.01,0.02,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
22:5n-6?,0,0,0.07,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.03,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03
22:4n-3?,0,0.09,0.11,0.09,0.09,0.15,0,0.15,0,0.01,0.02,0.02,0.03,0.03,0.05,NA,0,NA,NA,NA,0,0,0,0,0,0.03,0,0.02,0.02,0,0,0,0,0.03,0.01,0.03
22:1 alc,0,0.07,0.12,0.07,0.07,0.14,0.15,0.14,0,12.61,12.72,12.81,10.91,12.1,11.65,NA,8.12,NA,NA,NA,9.57,11.61,10.03,10.7,12.23,10.26,14.36,13.13,9.57,10.5,10.89,9.71,15.13,12.27,12.34,14.31
22:5n-3,0.24,0.32,0.45,0.29,0.19,0.24,0,0.23,0.1,0.32,0.31,0.55,0.64,0.42,0.49,NA,0.11,NA,NA,NA,0.25,0,0.22,0.39,0.17,0.25,0.17,0.28,0.29,0.35,0.35,0.16,0.24,0.22,0.29,1.08
24:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.03,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.03
24:1n-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0
22:6n-3,23.47,25.47,23.6,33.56,32.68,31.67,28.2,28.86,33.83,3.5,3.38,3.12,3.49,3.97,3.73,NA,5.01,NA,NA,NA,5.33,3.26,4.51,4.47,7.4,3.73,3.47,2.3,4.13,4.23,2.59,6.52,3.28,3.95,2.06,2.79
