PrDM	T090C	T190C	C0S/m	C1S/m	Par	Sbeox0Mm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
6.061	-1.6472	-1.6477	2.602233	2.60134	2.52E+02	349.814	32.7482	-0.00089	-0.0005	90.7796	-68.82424	-77.05101	1.3636	0	-0.0005	32.76	32.7481	-0.0118	-0.000894	6	32.76	32.7481	26.3562	26.3562	-0.0005	-0.000894	-0.0118	0.00E+00
7.071	-1.6504	-1.6485	2.600068	2.599999	2.17E+02	350.396	32.7298	-0.000071	0.0019	90.7064	-68.82424	-77.05104	1.3205	0	0.0019	32.7329	32.7299	-0.0031	-0.000068	7	32.7329	32.7299	26.3343	26.3343	0.0019	-0.000068	-0.0031	0.00E+00
8.081	-1.6553	-1.6552	2.598627	2.598243	1.93E+02	351.078	32.7125	-0.00038	0.0002	90.5573	-68.82424	-77.05106	1.2667	0	0.0002	32.7178	32.7123	-0.0055	-0.000384	8	32.7178	32.7123	26.3221	26.3221	0.0002	-0.000384	-0.0055	0.00E+00
9.092	-1.6595	-1.6611	2.596993	2.596272	1.68E+02	351.625	32.6913	-0.000715	-0.0015	90.632	-68.82424	-77.05108	1.2641	0	-0.0015	32.6992	32.6909	-0.0082	-0.00072	9	32.6992	32.6909	26.3071	26.3071	-0.0015	-0.00072	-0.0082	0.00E+00
10.102	-1.6619	-1.6606	2.596482	2.596408	1.45E+02	351.163	32.6919	-0.000077	0.0013	90.4684	-68.82424	-77.0511	1.3327	0	0.0013	32.694	32.6916	-0.0025	-0.000074	10	32.694	32.6916	26.303	26.303	0.0013	-0.000074	-0.0025	0.00E+00
11.112	-1.6553	-1.6543	2.597872	2.59758	1.24E+02	349.411	32.7003	-0.000291	0.0009	90.6249	-68.82424	-77.05112	1.2386	0	0.0009	32.7054	32.7003	-0.0051	-0.000292	11	32.7054	32.7003	26.312	26.312	0.0009	-0.000292	-0.0051	0.00E+00
12.122	-1.626	-1.6203	2.606403	2.606754	1.11E+02	334.877	32.788	0.000345	0.0057	90.7476	-68.82424	-77.05115	1.2853	0	0.0057	32.7904	32.789	-0.0015	0.000351	12	32.7904	32.789	26.3805	26.3805	0.0057	0.000351	-0.0015	0.00E+00
13.132	-1.6709	-1.6742	2.624232	2.6236	1.03E+02	319.913	33.0825	-0.00063	-0.0033	90.7936	-68.82424	-77.05116	1.656	0	-0.0033	33.0867	33.0816	-0.005	-0.000632	13	33.0867	33.0816	26.6222	26.6222	-0.0033	-0.000632	-0.005	0.00E+00
14.143	-1.7613	-1.764	2.633693	2.633463	9.42E+01	310.439	33.3225	-0.000217	-0.0027	91.1769	-68.82424	-77.05118	1.588	0	-0.0028	33.3188	33.3187	0.0001	-0.00023	14	33.3187	33.3186	26.813	26.813	-0.0028	-0.00023	0.0001	0.00E+00
15.153	-1.8156	-1.8173	2.649908	2.64994	8.43E+01	306.057	33.6123	0.000035	-0.0017	91.8408	-68.82424	-77.0512	1.5838	0	-0.0017	33.6054	33.6078	0.0024	0.000033	15	33.6054	33.6078	27.0474	27.0474	-0.0017	0.000032	0.0024	0.00E+00
