PrDM	T090C	T190C	C0S/m	C1S/m	Par	Sbeox0Mm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
5.051	-0.0637	-0.0626	2.74577	2.745576	2.10E+02	404.516	32.9695	-0.000196	0.0011	79.7388	-67.77194	-69.94358	2.4687	0	0.0011	32.9732	32.9695	-0.0038	-0.000194	5	32.9732	32.9695	26.4732	26.4732	0.0011	-0.000194	-0.0038	0.00E+00
6.061	-0.0599	-0.0595	2.746079	2.745817	1.60E+02	404.543	32.9686	-0.000262	0.0003	79.9162	-67.77194	-69.94358	2.9235	0	0.0003	32.9725	32.9687	-0.0038	-0.000262	6	32.9725	32.9687	26.4724	26.4724	0.0003	-0.000262	-0.0038	0.00E+00
7.071	-0.0601	-0.0596	2.745984	2.745758	1.33E+02	404.761	32.9673	-0.000225	0.0006	80.0587	-67.77194	-69.94357	2.7092	0	0.0006	32.971	32.9674	-0.0036	-0.000226	7	32.971	32.9674	26.4712	26.4712	0.0006	-0.000226	-0.0036	0.00E+00
8.081	-0.0622	-0.0629	2.745762	2.745494	1.08E+02	404.78	32.9669	-0.000265	-0.0007	79.9036	-67.77194	-69.94356	3.0984	0	-0.0007	32.9697	32.9668	-0.0028	-0.000268	8	32.9697	32.9668	26.4702	26.4702	-0.0007	-0.000268	-0.0028	0.00E+00
9.091	-0.0658	-0.066	2.745511	2.745275	8.65E+01	404.646	32.9669	-0.000237	-0.0002	79.9901	-67.77194	-69.94354	2.9024	0	-0.0002	32.9696	32.9667	-0.0029	-0.000237	9	32.9696	32.9667	26.4703	26.4703	-0.0002	-0.000237	-0.0029	0.00E+00
10.101	-0.0791	-0.0822	2.74509	2.744731	7.42E+01	404.686	32.977	-0.00035	-0.0032	79.8001	-67.77194	-69.94352	3.3602	0	-0.0032	32.9778	32.9765	-0.0012	-0.000358	10	32.9778	32.9765	26.4776	26.4776	-0.0032	-0.000358	-0.0012	0.00E+00
11.111	-0.0734	-0.0739	2.745292	2.745016	6.04E+01	404.548	32.9707	-0.000277	-0.0005	79.9532	-67.77194	-69.94352	3.9054	0	-0.0005	32.9737	32.9706	-0.0031	-0.000276	11	32.9737	32.9706	26.474	26.474	-0.0005	-0.000276	-0.0031	0.00E+00
12.121	-0.0665	-0.0658	2.745647	2.745414	5.10E+01	404.46	32.9664	-0.000235	0.0007	79.8357	-67.77194	-69.9435	3.8695	0	0.0007	32.9704	32.9665	-0.0039	-0.000233	12	32.9704	32.9665	26.471	26.471	0.0007	-0.000233	-0.0039	0.00E+00
13.132	-0.0712	-0.0704	2.745479	2.74528	4.14E+01	404.231	32.9692	-0.000203	0.0008	80.0404	-67.77194	-69.9435	3.6253	0	0.0008	32.9727	32.9692	-0.0035	-0.000199	13	32.9727	32.9692	26.4731	26.4731	0.0008	-0.000199	-0.0035	0.00E+00
14.142	-0.0888	-0.091	2.744904	2.744602	3.45E+01	404.361	32.9825	-0.000299	-0.0022	79.8809	-67.77194	-69.94349	3.674	0	-0.0022	32.9835	32.9819	-0.0015	-0.000302	14	32.9835	32.9819	26.4826	26.4826	-0.0022	-0.000302	-0.0015	0.00E+00
