PrDM	T090C	T190C	C0S/m	C1S/m	Par	OxMm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
91.942	-1.7128	-1.7123	2.69296	2.692792	1.95E+00	281.114	34.0365	-0.000168	0.0005	96.4655	-68.25802	-75.15876	-0.0138	0	0.0005	34.0393	34.0364	-0.0029	-0.000168	91	34.0393	34.0364	27.3976	27.3976	0.0005	-0.000168	-0.0029	0.00E+00
92.952	-1.7128	-1.7122	2.693027	2.692863	1.88E+00	281.305	34.0366	-0.000165	0.0006	96.4589	-68.25802	-75.15876	-0.0158	0	0.0006	34.0395	34.0365	-0.003	-0.000164	92	34.0395	34.0365	27.3978	27.3978	0.0006	-0.000164	-0.003	0.00E+00
93.963	-1.7123	-1.7118	2.693121	2.692959	1.81E+00	280.982	34.0368	-0.000163	0.0005	96.464	-68.25802	-75.15876	-0.0148	0	0.0005	34.0396	34.0368	-0.0028	-0.000162	93	34.0396	34.0368	27.3978	27.3978	0.0005	-0.000162	-0.0028	0.00E+00
94.973	-1.7089	-1.7085	2.693571	2.693401	1.74E+00	280.722	34.0384	-0.00017	0.0004	96.4708	-68.25802	-75.15876	-0.0169	0	0.0004	34.0413	34.0385	-0.0028	-0.000169	94	34.0413	34.0385	27.3991	27.3991	0.0004	-0.00017	-0.0028	0.00E+00
95.984	-1.7083	-1.7079	2.69397	2.693769	1.67E+00	280.457	34.0422	-0.000201	0.0004	96.4695	-68.25802	-75.15876	-0.0212	0	0.0004	34.0455	34.0423	-0.0033	-0.000201	95	34.0455	34.0423	27.4025	27.4025	0.0004	-0.000201	-0.0033	0.00E+00
96.994	-1.7085	-1.7082	2.694117	2.693879	1.61E+00	280.003	34.0435	-0.000238	0.0004	96.4722	-68.25802	-75.15876	-0.0285	0	0.0004	34.0472	34.0435	-0.0037	-0.000238	96	34.0472	34.0435	27.4039	27.4039	0.0004	-0.000238	-0.0037	0.00E+00
98.005	-1.7079	-1.7074	2.694497	2.694327	1.57E+00	279.645	34.0481	-0.000169	0.0006	96.4748	-68.25802	-75.15876	-0.0161	0	0.0006	34.0512	34.0482	-0.003	-0.00017	97	34.0512	34.0482	27.4071	27.4071	0.0006	-0.00017	-0.003	0.00E+00
99.016	-1.7048	-1.7044	2.695024	2.694851	1.52E+00	279.432	34.0512	-0.000174	0.0005	96.4414	-68.25802	-75.15876	-0.0336	0	0.0005	34.0543	34.0514	-0.003	-0.000173	98	34.0543	34.0514	27.4096	27.4096	0.0005	-0.000174	-0.003	0.00E+00
100.026	-1.7098	-1.7092	2.694954	2.694776	1.47E+00	279.402	34.0553	-0.000178	0.0006	96.4752	-68.25802	-75.15876	-0.0225	0	0.0006	34.0584	34.0552	-0.0032	-0.000178	99	34.0584	34.0552	27.413	27.413	0.0006	-0.000178	-0.0032	0.00E+00
101.037	-1.7162	-1.7158	2.694814	2.694641	1.42E+00	279.56	34.0606	-0.000173	0.0004	96.4898	-68.25802	-75.15876	-0.0177	0	0.0004	34.0632	34.0603	-0.0029	-0.000174	100	34.0632	34.0603	27.4171	27.4171	0.0004	-0.000174	-0.0029	0.00E+00
102.047	-1.7199	-1.7192	2.694603	2.694438	1.36E+00	279.509	34.061	-0.000166	0.0007	96.4937	-68.25802	-75.15876	-0.0233	0	0.0007	34.0638	34.0607	-0.0031	-0.000166	101	34.0638	34.0607	27.4177	27.4177	0.0007	-0.000165	-0.0031	0.00E+00
103.058	-1.7215	-1.7198	2.694502	2.694406	1.30E+00	279.526	34.0605	-0.000099	0.0018	96.498	-68.25802	-75.15876	-0.0268	0	0.0018	34.0636	34.0603	-0.0034	-0.000096	102	34.0636	34.0603	27.4176	27.4176	0.0018	-0.000096	-0.0034	0.00E+00
104.069	-1.7296	-1.7291	2.6942	2.694041	1.27E+00	279.39	34.0658	-0.000159	0.0005	96.5033	-68.25802	-75.15876	-0.0385	0	0.0005	34.0681	34.0653	-0.0028	-0.000159	103	34.0681	34.0653	27.4214	27.4214	0.0005	-0.000159	-0.0028	0.00E+00
105.079	-1.7305	-1.73	2.694381	2.694224	1.23E+00	279.54	34.0687	-0.000156	0.0005	96.5074	-68.25802	-75.15876	-0.036	0	0.0005	34.071	34.0682	-0.0028	-0.000157	104	34.071	34.0682	27.4238	27.4238	0.0005	-0.000157	-0.0028	0.00E+00
106.09	-1.7322	-1.7318	2.694548	2.69438	1.19E+00	279.445	34.0722	-0.000167	0.0004	96.5052	-68.25802	-75.15876	-0.0353	0	0.0004	34.0746	34.0718	-0.0028	-0.000167	105	34.0746	34.0718	27.4268	27.4268	0.0004	-0.000167	-0.0028	0.00E+00
107.101	-1.7317	-1.7313	2.694701	2.694533	1.15E+00	279.4	34.0731	-0.000168	0.0003	96.5074	-68.25802	-75.15876	-0.0357	0	0.0003	34.0755	34.0727	-0.0027	-0.000169	106	34.0755	34.0727	27.4275	27.4275	0.0003	-0.000169	-0.0027	0.00E+00
108.111	-1.7266	-1.7267	2.69533	2.695139	1.10E+00	279.111	34.0753	-0.00019	-0.0001	96.519	-68.25802	-75.15876	-0.0367	0	-0.0001	34.0778	34.0752	-0.0026	-0.000192	107	34.0778	34.0752	27.4293	27.4293	-0.0001	-0.000191	-0.0026	0.00E+00
109.122	-1.7201	-1.7197	2.696141	2.69598	1.06E+00	279.072	34.0781	-0.000163	0.0004	96.5199	-68.25802	-75.15876	-0.039	0	0.0004	34.081	34.0783	-0.0027	-0.000161	108	34.081	34.0783	27.4317	27.4317	0.0004	-0.000161	-0.0027	0.00E+00
110.133	-1.7269	-1.7276	2.695777	2.695536	1.03E+00	279.39	34.0806	-0.000237	-0.0006	96.5252	-68.25802	-75.15876	-0.0299	0	-0.0006	34.0831	34.0805	-0.0026	-0.000241	109	34.0831	34.0805	27.4336	27.4336	-0.0006	-0.000241	-0.0026	0.00E+00
111.143	-1.735	-1.7348	2.695179	2.694998	9.95E-01	279.369	34.0809	-0.000182	0.0002	96.5363	-68.25802	-75.15876	-0.0417	0	0.0002	34.0834	34.0806	-0.0028	-0.000181	110	34.0834	34.0806	27.434	27.434	0.0002	-0.000181	-0.0028	0.00E+00
112.154	-1.7321	-1.7324	2.695551	2.695319	9.64E-01	279.263	34.0819	-0.000229	-0.0003	96.5326	-68.25802	-75.15876	-0.0643	0	-0.0003	34.0846	34.0817	-0.0029	-0.000232	111	34.0846	34.0817	27.4349	27.4349	-0.0003	-0.000232	-0.0029	0.00E+00
113.165	-1.7193	-1.7226	2.696562	2.6962	9.35E-01	278.462	34.0819	-0.000355	-0.0032	96.5372	-68.25802	-75.15876	-0.0454	0	-0.0032	34.0834	34.082	-0.0013	-0.000362	112	34.0834	34.082	27.4336	27.4336	-0.0032	-0.000362	-0.0013	0.00E+00
114.175	-1.7057	-1.7062	2.698076	2.69782	9.11E-01	277.693	34.0845	-0.000257	-0.0005	96.5382	-68.25802	-75.15876	-0.0319	0	-0.0005	34.0882	34.0852	-0.003	-0.000256	113	34.0882	34.0852	27.4372	27.4372	-0.0005	-0.000256	-0.003	0.00E+00
115.186	-1.6922	-1.6908	2.699368	2.699275	8.81E-01	277.804	34.086	-0.000102	0.0014	96.5289	-68.25802	-75.15876	-0.0334	0	0.0014	34.09	34.087	-0.0031	-0.000094	114	34.09	34.087	27.4382	27.4382	0.0014	-0.000094	-0.0031	0.00E+00
116.197	-1.6859	-1.6853	2.700199	2.700061	8.49E-01	278.036	34.0899	-0.000142	0.0006	96.5352	-68.25802	-75.15876	-0.0357	0	0.0006	34.0936	34.091	-0.0026	-0.000138	115	34.0936	34.091	27.441	27.441	0.0006	-0.000138	-0.0026	0.00E+00
117.207	-1.6947	-1.6936	2.699544	2.699429	8.12E-01	277.761	34.0906	-0.000118	0.0011	96.5039	-68.25802	-75.15876	-0.0651	0	0.0011	34.094	34.0911	-0.0029	-0.000114	116	34.094	34.0911	27.4416	27.4416	0.0011	-0.000115	-0.0029	0.00E+00
118.218	-1.7065	-1.7061	2.69872	2.698557	7.83E-01	278.285	34.0928	-0.000162	0.0005	96.5531	-68.25802	-75.15876	-0.0737	0	0.0005	34.0955	34.0927	-0.0028	-0.000162	117	34.0955	34.0927	27.4431	27.4431	0.0005	-0.000162	-0.0028	0.00E+00
119.229	-1.7159	-1.7159	2.697959	2.697758	7.60E-01	278.106	34.0926	-0.0002	0	96.5333	-68.25802	-75.15876	-0.0607	0	0	34.0951	34.0923	-0.0028	-0.000202	118	34.0951	34.0923	27.443	27.443	0	-0.000202	-0.0028	0.00E+00
120.239	-1.7183	-1.7173	2.69786	2.697739	7.40E-01	278.298	34.0933	-0.000122	0.001	96.5543	-68.25802	-75.15876	-0.056	0	0.001	34.0957	34.0929	-0.0028	-0.000121	119	34.0957	34.0929	27.4436	27.4436	0.001	-0.000121	-0.0028	0.00E+00
121.25	-1.7141	-1.7129	2.698229	2.698142	7.20E-01	278.456	34.093	-0.000092	0.0012	96.5525	-68.25802	-75.15876	-0.0734	0	0.0012	34.0954	34.0928	-0.0026	-0.000087	120	34.0954	34.0928	27.4432	27.4432	0.0012	-0.000087	-0.0026	0.00E+00
122.261	-1.7188	-1.7187	2.697947	2.697752	6.99E-01	278.285	34.0938	-0.000194	0.0001	96.5596	-68.25802	-75.15876	-0.0532	0	0.0001	34.0962	34.0935	-0.0028	-0.000195	121	34.0962	34.0935	27.444	27.444	0.0001	-0.000195	-0.0028	0.00E+00
123.272	-1.7197	-1.7193	2.697921	2.69776	6.76E-01	278.485	34.0939	-0.00016	0.0003	96.5485	-68.25802	-75.15876	-0.0635	0	0.0004	34.0963	34.0936	-0.0026	-0.000161	122	34.0963	34.0936	27.4441	27.4441	0.0004	-0.000161	-0.0026	0.00E+00
124.282	-1.7197	-1.7185	2.697984	2.697878	6.51E-01	278.4	34.0938	-0.000108	0.0012	96.5532	-68.25802	-75.15876	-0.0608	0	0.0012	34.0965	34.0937	-0.0028	-0.000106	123	34.0965	34.0937	27.4442	27.4442	0.0012	-0.000106	-0.0028	0.00E+00
125.293	-1.7202	-1.7196	2.698027	2.69788	6.25E-01	277.989	34.0945	-0.000145	0.0006	96.5564	-68.25802	-75.15876	-0.0778	0	0.0006	34.0971	34.0943	-0.0028	-0.000147	124	34.0971	34.0943	27.4448	27.4448	0.0006	-0.000147	-0.0028	0.00E+00
126.304	-1.7199	-1.7195	2.698318	2.698166	6.05E-01	277.856	34.0976	-0.000152	0.0004	96.5493	-68.25802	-75.15876	-0.0386	0	0.0004	34.1001	34.0975	-0.0026	-0.000152	125	34.1001	34.0975	27.4472	27.4472	0.0004	-0.000152	-0.0026	0.00E+00
127.315	-1.7151	-1.7147	2.698951	2.698789	5.86E-01	277.518	34.1	-0.000161	0.0004	96.5531	-68.25802	-75.15876	-0.0639	0	0.0004	34.1028	34.1	-0.0027	-0.000162	126	34.1028	34.1	27.4492	27.4492	0.0004	-0.000162	-0.0027	0.00E+00
128.325	-1.7082	-1.7077	2.699812	2.699663	5.69E-01	277.502	34.1032	-0.00015	0.0005	96.5504	-68.25802	-75.15876	-0.0403	0	0.0005	34.1062	34.1035	-0.0027	-0.000149	127	34.1062	34.1035	27.4518	27.4518	0.0005	-0.000149	-0.0027	0.00E+00
129.336	-1.705	-1.7044	2.700312	2.700163	5.55E-01	277.301	34.1058	-0.000147	0.0006	96.562	-68.25802	-75.15876	-0.0642	0	0.0006	34.1089	34.1061	-0.0027	-0.000149	128	34.1089	34.1061	27.4539	27.4539	0.0006	-0.000149	-0.0027	0.00E+00
130.347	-1.699	-1.6998	2.700889	2.700623	5.39E-01	276.995	34.1062	-0.000263	-0.0008	96.5742	-68.25802	-75.15876	-0.0761	0	-0.0008	34.1093	34.1066	-0.0027	-0.000267	129	34.1093	34.1066	27.4541	27.4541	-0.0008	-0.000267	-0.0027	0.00E+00
131.358	-1.6947	-1.6936	2.701401	2.70131	5.22E-01	276.978	34.1078	-0.000094	0.0011	96.566	-68.25802	-75.15876	-0.0715	0	0.0011	34.1109	34.1083	-0.0026	-0.000092	130	34.1109	34.1083	27.4553	27.4553	0.0011	-0.000092	-0.0026	0.00E+00
132.368	-1.6842	-1.6838	2.702397	2.702231	5.05E-01	276.055	34.1085	-0.000165	0.0004	96.5715	-68.25802	-75.15876	-0.053	0	0.0004	34.112	34.1092	-0.0028	-0.000165	131	34.112	34.1092	27.4559	27.4559	0.0004	-0.000165	-0.0028	0.00E+00
133.379	-1.6627	-1.662	2.704352	2.704233	4.89E-01	275.779	34.1101	-0.00012	0.0008	96.5694	-68.25802	-75.15876	-0.0718	0	0.0008	34.1139	34.1113	-0.0026	-0.00012	132	34.1139	34.1114	27.4569	27.4569	0.0008	-0.000119	-0.0026	0.00E+00
134.39	-1.6495	-1.6489	2.705678	2.705547	4.73E-01	275.6	34.1125	-0.000131	0.0006	96.5719	-68.25802	-75.15876	-0.0747	0	0.0006	34.1165	34.114	-0.0025	-0.000131	133	34.1165	34.114	27.4586	27.4586	0.0006	-0.000131	-0.0025	0.00E+00
135.401	-1.6457	-1.6468	2.706041	2.705809	4.56E-01	275.119	34.1135	-0.000228	-0.0011	96.5684	-68.25802	-75.15876	-0.0749	0	-0.0011	34.1166	34.1146	-0.0019	-0.000232	134	34.1166	34.1146	27.4586	27.4586	-0.0011	-0.000232	-0.0019	0.00E+00
136.411	-1.6335	-1.633	2.707234	2.70709	4.44E-01	274.41	34.1147	-0.000146	0.0004	96.5713	-68.25802	-75.15876	-0.0513	0	0.0004	34.1184	34.1159	-0.0025	-0.000144	135	34.1184	34.1159	27.4597	27.4597	0.0004	-0.000144	-0.0025	0.00E+00
137.422	-1.6233	-1.6229	2.708362	2.708181	4.32E-01	274.432	34.1174	-0.000182	0.0005	96.5756	-68.25802	-75.15876	-0.0642	0	0.0005	34.1218	34.1188	-0.0031	-0.000181	136	34.1218	34.1188	27.4622	27.4622	0.0005	-0.000181	-0.0031	0.00E+00
138.433	-1.6136	-1.6134	2.709404	2.709229	4.19E-01	274.549	34.1202	-0.000175	0.0002	96.5608	-68.25802	-75.15876	-0.0752	0	0.0002	34.1244	34.1218	-0.0026	-0.000175	137	34.1244	34.1218	27.464	27.464	0.0002	-0.000175	-0.0026	0.00E+00
139.444	-1.6197	-1.6197	2.7091	2.708923	4.05E-01	274.793	34.123	-0.000178	0	96.5597	-68.25802	-75.15876	-0.0718	0	0	34.1266	34.1241	-0.0025	-0.000177	138	34.1266	34.1241	27.466	27.466	0	-0.000177	-0.0025	0.00E+00
140.455	-1.6272	-1.6265	2.708545	2.708429	3.91E-01	274.855	34.1239	-0.000117	0.0007	96.5657	-68.25802	-75.15876	-0.06	0	0.0007	34.1269	34.1245	-0.0025	-0.000116	139	34.1269	34.1245	27.4664	27.4664	0.0007	-0.000116	-0.0025	0.00E+00
141.465	-1.6326	-1.6324	2.70815	2.707991	3.81E-01	274.985	34.1242	-0.000159	0.0002	96.5542	-68.25802	-75.15876	-0.0755	0	0.0002	34.1269	34.1245	-0.0025	-0.000159	140	34.1269	34.1245	27.4666	27.4666	0.0002	-0.000159	-0.0025	0.00E+00
142.476	-1.6326	-1.6325	2.708264	2.708098	3.70E-01	274.846	34.1252	-0.000165	0.0001	96.5682	-68.25802	-75.15876	-0.0747	0	0.0001	34.1279	34.1254	-0.0024	-0.000166	141	34.1279	34.1254	27.4674	27.4674	0.0001	-0.000166	-0.0024	0.00E+00
143.487	-1.6248	-1.6247	2.708989	2.708787	3.59E-01	274.542	34.125	-0.0002	0.0001	96.5658	-68.25802	-75.15876	-0.0781	0	0	34.1283	34.1255	-0.0028	-0.000202	142	34.1283	34.1255	27.4675	27.4675	0	-0.000202	-0.0028	0.00E+00
144.498	-1.6086	-1.6104	2.710425	2.710102	3.47E-01	273.862	34.1257	-0.000319	-0.0018	96.573	-68.25802	-75.15876	-0.0781	0	-0.0018	34.129	34.1266	-0.0024	-0.000323	143	34.129	34.1266	27.4676	27.4676	-0.0018	-0.000323	-0.0024	0.00E+00
145.509	-1.5897	-1.5891	2.712198	2.712077	3.36E-01	273.37	34.1277	-0.000123	0.0006	96.5745	-68.25802	-75.15876	-0.0763	0	0.0006	34.1314	34.129	-0.0024	-0.000121	144	34.1314	34.129	27.469	27.469	0.0006	-0.000121	-0.0024	0.00E+00
146.52	-1.5774	-1.5781	2.71338	2.713133	3.26E-01	272.316	34.1292	-0.000246	-0.0007	96.5754	-68.25802	-75.15876	-0.0609	0	-0.0007	34.133	34.1303	-0.0026	-0.000247	145	34.133	34.1303	27.4699	27.4699	-0.0007	-0.000247	-0.0026	0.00E+00
147.53	-1.5537	-1.5541	2.71571	2.715469	3.18E-01	271.224	34.133	-0.000242	-0.0005	96.5651	-68.25802	-75.15876	-0.0714	0	-0.0004	34.1374	34.1346	-0.0028	-0.000242	146	34.1374	34.1346	27.4728	27.4728	-0.0004	-0.000242	-0.0028	0.00E+00
148.541	-1.5357	-1.5357	2.717378	2.717164	3.10E-01	270.229	34.1342	-0.000213	0	96.5638	-68.25802	-75.15876	-0.0771	0	0	34.1392	34.1362	-0.003	-0.000214	147	34.1392	34.1362	27.4738	27.4738	0	-0.000214	-0.003	0.00E+00
149.552	-1.4953	-1.4947	2.721225	2.721096	3.02E-01	269.638	34.1398	-0.000133	0.0007	96.5746	-68.25802	-75.15876	-0.0808	0	0.0007	34.1456	34.143	-0.0026	-0.000129	148	34.1456	34.143	27.4777	27.4777	0.0007	-0.000129	-0.0026	0.00E+00
150.563	-1.4831	-1.4825	2.722464	2.722309	2.92E-01	269.746	34.142	-0.000155	0.0005	96.5618	-68.25802	-75.15876	-0.0768	0	0.0005	34.148	34.1453	-0.0027	-0.000155	149	34.148	34.1453	27.4793	27.4793	0.0005	-0.000154	-0.0027	0.00E+00
151.574	-1.4816	-1.4848	2.722671	2.722208	2.82E-01	269.431	34.1435	-0.000457	-0.0032	96.5678	-68.25802	-75.15876	-0.0727	0	-0.0032	34.1485	34.1458	-0.0026	-0.000463	150	34.1485	34.1458	27.4797	27.4797	-0.0032	-0.000463	-0.0026	0.00E+00
152.585	-1.4629	-1.466	2.724284	2.723843	2.74E-01	267.311	34.1441	-0.000439	-0.0031	96.5633	-68.25802	-75.15876	-0.0786	0	-0.0031	34.1488	34.1463	-0.0025	-0.000442	151	34.1488	34.1463	27.4793	27.4793	-0.0031	-0.000442	-0.0025	0.00E+00
153.596	-1.4148	-1.4044	2.728818	2.729605	2.68E-01	266.23	34.1509	0.000759	0.0104	96.567	-68.25802	-75.15876	-0.0771	0	0.0104	34.1557	34.1547	-0.0014	0.000787	152	34.1557	34.1547	27.4835	27.4835	0.0104	0.000787	-0.0014	0.00E+00
154.606	-1.3895	-1.3889	2.731301	2.731215	2.60E-01	266.02	34.1547	-0.00009	0.0007	96.5769	-68.25802	-75.15876	-0.0795	0	0.0007	34.1604	34.1585	-0.002	-0.000086	153	34.1604	34.1585	27.4865	27.4865	0.0007	-0.000086	-0.002	0.00E+00
155.617	-1.3897	-1.3884	2.731374	2.731353	2.52E-01	265.894	34.156	-0.000024	0.0013	96.5521	-68.25802	-75.15876	-0.069	0	0.0013	34.161	34.1592	-0.0018	-0.000021	154	34.161	34.1592	27.4869	27.4869	0.0013	-0.000021	-0.0018	0.00E+00
156.628	-1.3918	-1.3913	2.731251	2.731128	2.44E-01	265.968	34.1563	-0.000122	0.0005	96.5615	-68.25802	-75.15876	-0.0737	0	0.0005	34.161	34.1588	-0.0022	-0.000122	155	34.161	34.1588	27.487	27.487	0.0005	-0.000122	-0.0022	0.00E+00
157.639	-1.388	-1.3877	2.731614	2.731482	2.37E-01	265.724	34.157	-0.000133	0.0003	96.554	-68.25802	-75.15876	-0.0715	0	0.0003	34.1611	34.1589	-0.0021	-0.000132	156	34.1611	34.1589	27.4869	27.4869	0.0003	-0.000132	-0.0021	0.00E+00
158.65	-1.3875	-1.3872	2.731701	2.731577	2.31E-01	265.79	34.1575	-0.000124	0.0003	96.5542	-68.25802	-75.15876	-0.0772	0	0.0003	34.1611	34.159	-0.0021	-0.000124	157	34.1611	34.159	27.4869	27.4869	0.0003	-0.000124	-0.0021	0.00E+00
159.661	-1.3876	-1.3866	2.731732	2.731661	2.24E-01	266.013	34.1577	-0.000073	0.001	96.5573	-68.25802	-75.15876	-0.0751	0	0.001	34.161	34.1589	-0.0022	-0.00007	158	34.161	34.1589	27.4869	27.4869	0.001	-0.00007	-0.0022	0.00E+00
160.672	-1.3863	-1.3857	2.731881	2.731781	2.18E-01	265.553	34.1579	-0.000102	0.0006	96.5529	-68.25802	-75.15876	-0.0729	0	0.0006	34.1609	34.1589	-0.002	-0.000101	159	34.1609	34.1589	27.4867	27.4867	0.0006	-0.000101	-0.002	0.00E+00
161.683	-1.3837	-1.3846	2.732149	2.731921	2.12E-01	265.644	34.1581	-0.000224	-0.0008	96.5558	-68.25802	-75.15876	-0.074	0	-0.0008	34.161	34.1589	-0.0021	-0.000228	160	34.161	34.1589	27.4868	27.4868	-0.0008	-0.000228	-0.0021	0.00E+00
162.694	-1.3811	-1.3805	2.732478	2.732358	2.06E-01	265.588	34.1588	-0.000122	0.0006	96.5523	-68.25802	-75.15876	-0.0691	0	0.0006	34.1619	34.1596	-0.0023	-0.00012	161	34.1619	34.1596	27.4874	27.4874	0.0006	-0.00012	-0.0023	0.00E+00
163.705	-1.3823	-1.3819	2.732461	2.73234	2.00E-01	265.399	34.1597	-0.000121	0.0004	96.5547	-68.25802	-75.15876	-0.0789	0	0.0004	34.1624	34.1603	-0.0022	-0.000121	162	34.1624	34.1603	27.4879	27.4879	0.0004	-0.000121	-0.0022	0.00E+00
164.715	-1.3703	-1.3697	2.733562	2.733473	1.94E-01	265.044	34.1605	-0.00009	0.0006	96.5526	-68.25802	-75.15876	-0.0779	0	0.0006	34.1632	34.1614	-0.0019	-0.000089	163	34.1632	34.1614	27.4881	27.4881	0.0006	-0.000089	-0.0019	0.00E+00
165.726	-1.3448	-1.3445	2.73598	2.735857	1.89E-01	263.584	34.1633	-0.000123	0.0002	96.5532	-68.25802	-75.15876	-0.0718	0	0.0002	34.1667	34.1648	-0.002	-0.000123	164	34.1667	34.1648	27.4901	27.4901	0.0002	-0.000123	-0.0019	0.00E+00
166.737	-1.3047	-1.3061	2.739682	2.7394	1.84E-01	262.995	34.1666	-0.00028	-0.0015	96.5555	-68.25802	-75.15876	-0.069	0	-0.0015	34.1712	34.169	-0.0022	-0.000282	165	34.1712	34.169	27.4925	27.4925	-0.0015	-0.000282	-0.0022	0.00E+00
167.748	-1.2868	-1.2798	2.741406	2.741878	1.79E-01	261.117	34.1696	0.000455	0.007	96.5529	-68.25802	-75.15876	-0.0716	0	0.007	34.1739	34.1724	-0.0017	0.000471	166	34.1739	34.1724	27.494	27.494	0.007	0.000471	-0.0017	0.00E+00
168.759	-1.2441	-1.2408	2.74539	2.745621	1.75E-01	259.968	34.175	0.000228	0.0034	96.5607	-68.25802	-75.15876	-0.0779	0	0.0034	34.1792	34.1785	-0.0008	0.00023	167	34.1792	34.1785	27.4969	27.4969	0.0034	0.00023	-0.0008	0.00E+00
169.77	-1.2256	-1.2254	2.747321	2.747203	1.70E-01	258.975	34.1788	-0.000115	0.0002	96.5635	-68.25802	-75.15876	-0.0796	0	0.0002	34.1839	34.1821	-0.0018	-0.000118	168	34.1839	34.1821	27.5001	27.5001	0.0002	-0.000118	-0.0018	0.00E+00
170.781	-1.2217	-1.2219	2.747716	2.74755	1.66E-01	258.512	34.1797	-0.000161	-0.0002	96.5278	-68.25802	-75.15876	-0.0807	0	-0.0002	34.1843	34.1823	-0.002	-0.000166	169	34.1843	34.1823	27.5003	27.5003	-0.0002	-0.000166	-0.002	0.00E+00
171.792	-1.1812	-1.1833	2.751271	2.750946	1.61E-01	254.568	34.181	-0.000321	-0.0021	96.5625	-68.25802	-75.15876	-0.0788	0	-0.002	34.1862	34.1841	-0.002	-0.000325	170	34.1862	34.1841	27.5004	27.5004	-0.002	-0.000325	-0.002	0.00E+00
172.803	-1.0704	-1.0716	2.761535	2.761332	1.56E-01	251.898	34.1923	-0.000202	-0.0012	96.5554	-68.25802	-75.15876	-0.0755	0	-0.0013	34.1997	34.1984	-0.0014	-0.000203	171	34.1997	34.1984	27.5074	27.5074	-0.0013	-0.000203	-0.0014	0.00E+00
173.814	-1.0128	-1.0141	2.766808	2.766552	1.53E-01	249.533	34.1965	-0.000248	-0.0012	96.576	-68.25802	-75.15876	-0.0808	0	-0.0013	34.2055	34.2034	-0.002	-0.000255	172	34.2055	34.2035	27.5099	27.5099	-0.0013	-0.000255	-0.002	0.00E+00
174.825	-0.9396	-0.9419	2.773668	2.773354	1.49E-01	246.591	34.2055	-0.000309	-0.0023	96.5652	-68.25802	-75.15876	-0.0689	0	-0.0023	34.2151	34.2134	-0.0016	-0.000313	173	34.2151	34.2134	27.5149	27.5149	-0.0023	-0.000314	-0.0016	0.00E+00
175.836	-0.8483	-0.8488	2.782452	2.782279	1.44E-01	243.983	34.2194	-0.000173	-0.0005	96.5521	-68.25802	-75.15876	-0.0553	0	-0.0005	34.2301	34.2284	-0.0018	-0.000173	174	34.2302	34.2284	27.5236	27.5236	-0.0005	-0.000173	-0.0018	0.00E+00
176.847	-0.8181	-0.8184	2.785276	2.785171	1.41E-01	241.856	34.2247	-0.000107	-0.0003	96.5524	-68.25802	-75.15876	-0.0736	0	-0.0003	34.2336	34.2325	-0.0012	-0.000106	175	34.2336	34.2325	27.5251	27.5251	-0.0003	-0.000106	-0.0012	0.00E+00
177.858	-0.7557	-0.7566	2.790999	2.790832	1.38E-01	237.901	34.2301	-0.000166	-0.0009	96.5507	-68.25802	-75.15876	-0.0734	0	-0.0009	34.2398	34.2385	-0.0013	-0.000167	176	34.2398	34.2385	27.5276	27.5276	-0.0009	-0.000167	-0.0013	0.00E+00
178.869	-0.6492	-0.6512	2.800948	2.800623	1.35E-01	233.64	34.2404	-0.000321	-0.002	96.3042	-68.25802	-75.15876	-0.0736	0	-0.002	34.2529	34.2508	-0.002	-0.000326	177	34.2529	34.2509	27.5338	27.5338	-0.002	-0.000325	-0.002	0.00E+00
179.88	-0.501	-0.5024	2.814996	2.814811	1.31E-01	229.935	34.2595	-0.000185	-0.0014	96.4831	-68.25802	-75.15876	-0.0714	0	-0.0014	34.2739	34.273	-0.0009	-0.000185	178	34.2739	34.2731	27.5443	27.5443	-0.0014	-0.000185	-0.0009	0.00E+00
180.891	-0.3704	-0.3699	2.827693	2.827703	1.28E-01	227.741	34.282	0.000006	0.0005	96.5347	-68.25802	-75.15876	-0.0766	0	0.0005	34.2962	34.2957	-0.0005	0.00001	179	34.2962	34.2957	27.5563	27.5563	0.0005	0.00001	-0.0005	0.00E+00
181.902	-0.3097	-0.3057	2.833579	2.833893	1.24E-01	225.265	34.2946	0.000307	0.004	96.5428	-68.25802	-75.15876	-0.0691	0	0.004	34.3059	34.3056	-0.0004	0.000315	180	34.3059	34.3056	27.5613	27.5613	0.004	0.000315	-0.0004	0.00E+00
182.913	-0.2444	-0.2416	2.839873	2.840093	1.21E-01	224	34.3052	0.000215	0.0027	96.5363	-68.25802	-75.15876	-0.0744	0	0.0027	34.3158	34.3156	-0.0002	0.00022	181	34.3158	34.3156	27.5661	27.5661	0.0027	0.00022	-0.0002	0.00E+00
183.924	-0.2319	-0.2322	2.841253	2.84115	1.18E-01	223.684	34.3096	-0.0001	-0.0002	96.5317	-68.25802	-75.15876	-0.0689	0	-0.0002	34.3196	34.3185	-0.0011	-0.000103	182	34.3196	34.3185	27.5686	27.5686	-0.0002	-0.000103	-0.0011	0.00E+00
