PrDM	T090C	T190C	C0S/m	C1S/m	Par	Sbeox0Mm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
5.05	1.1961	1.2136	2.915472	2.916721	1.00E-12	338.775	33.816	0.001203	0.0176	92.0546	-67.1574	-74.47632	0.2757	0	0.0175	33.8186	33.8156	-0.0036	0.001249	5	33.8186	33.8156	27.0827	27.0827	0.0175	0.001249	-0.0036	0.00E+00
6.06	1.2476	1.2485	2.919861	2.919683	1.00E-12	338.58	33.8145	-0.000176	0.0009	92.1099	-67.1574	-74.47632	0.2751	0	0.0009	33.8183	33.8151	-0.0032	-0.000178	6	33.8183	33.8151	27.079	27.079	0.0009	-0.000178	-0.0032	0.00E+00
7.07	1.2451	1.2391	2.919785	2.91903	1.00E-12	338.633	33.8162	-0.000736	-0.006	92.1262	-67.1574	-74.4763	0.3005	0	-0.006	33.8195	33.8163	-0.003	-0.000755	7	33.8195	33.8163	27.0801	27.0801	-0.006	-0.000755	-0.003	0.00E+00
8.081	1.2281	1.2252	2.918361	2.91781	1.00E-12	338.564	33.8156	-0.000548	-0.003	92.1018	-67.1574	-74.47628	0.2932	0	-0.003	33.8191	33.8152	-0.0038	-0.000551	8	33.8191	33.8152	27.0809	27.0809	-0.003	-0.000551	-0.0038	0.00E+00
9.091	1.2226	1.2249	2.917921	2.917874	1.00E-12	338.864	33.816	-0.000056	0.0023	92.1042	-67.1574	-74.47628	0.3112	0	0.0023	33.8188	33.8158	-0.0032	-0.000048	9	33.8188	33.8158	27.0811	27.0811	0.0023	-0.000047	-0.0032	0.00E+00
10.101	1.2295	1.2306	2.918642	2.918425	1.00E-12	338.691	33.8161	-0.000212	0.0011	92.0215	-67.1574	-74.4763	0.3413	0	0.001	33.82	33.8161	-0.0039	-0.000217	10	33.82	33.8161	27.0816	27.0816	0.001	-0.000217	-0.0039	0.00E+00
11.111	1.1815	1.1874	2.91463	2.914957	1.00E-12	339.068	33.8192	0.000302	0.0058	92.0288	-67.1574	-74.4763	0.3689	0	0.0059	33.8201	33.8178	-0.0025	0.000327	11	33.8201	33.8178	27.0848	27.0848	0.0059	0.000327	-0.0025	0.00E+00
12.121	1.1783	1.1792	2.91431	2.914143	1.00E-12	338.883	33.817	-0.000169	0.0009	92.0693	-67.1574	-74.47631	0.421	0	0.0009	33.8188	33.8157	-0.0031	-0.000168	12	33.8188	33.8157	27.0841	27.0841	0.0009	-0.000168	-0.0031	0.00E+00
13.131	1.179	1.1763	2.914464	2.913927	1.00E-12	338.758	33.8165	-0.000532	-0.0027	91.9359	-67.1574	-74.4763	0.457	0	-0.0027	33.8195	33.8155	-0.0039	-0.000538	13	33.8195	33.8155	27.0846	27.0846	-0.0027	-0.000538	-0.0039	0.00E+00
14.141	1.1739	1.1742	2.914037	2.913822	1.00E-12	338.97	33.8167	-0.000218	0.0003	91.9788	-67.1574	-74.4763	0.5307	0	0.0003	33.8189	33.8158	-0.0031	-0.000215	14	33.8189	33.8158	27.0844	27.0844	0.0003	-0.000215	-0.0031	0.00E+00
