PrDM	T090C	T190C	C0S/m	C1S/m	Par	Sbeox0Mm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
5.05	-0.8487	-0.8053	2.66922	2.669188	1.71E+02	374.225	32.7496	-0.000138	0.0429	75.7633	-67.51152	-70.59062	1.3422	0	0.0433	32.8008	32.7531	-0.0487	-0.000032	5	32.8011	32.7535	26.3661	26.3661	0.0433	-0.000032	-0.0487	0.00E+00
6.061	-1.0668	-1.0422	2.663847	2.663798	1.41E+02	367.894	32.9437	-0.000091	0.0245	76.1883	-67.51152	-70.59062	1.6526	0	0.0246	32.9665	32.9388	-0.0282	-0.000049	6	32.9663	32.9387	26.5074	26.5074	0.0246	-0.000049	-0.0282	0.00E+00
7.071	-1.1665	-1.1668	2.662047	2.661779	1.13E+02	366.954	33.0557	-0.000237	-0.0004	77.5453	-67.51152	-70.59062	2.0319	0	-0.0003	33.051	33.0477	-0.0028	-0.000268	7	33.051	33.0477	26.5793	26.5793	-0.0003	-0.000268	-0.0028	0.00E+00
8.081	-1.1815	-1.179	2.662087	2.661924	9.23E+01	368.091	33.0695	-0.000147	0.0024	78.9278	-67.51152	-70.59061	2.1273	0	0.0025	33.0675	33.0626	-0.0047	-0.000163	8	33.0675	33.0626	26.5931	26.5931	0.0025	-0.000163	-0.0047	0.00E+00
9.091	-1.1522	-1.1506	2.663136	2.663312	7.86E+01	367.882	33.0542	0.000183	0.0016	81.0882	-67.51152	-70.5906	2.3555	0	0.0016	33.049	33.0496	0.0007	0.000175	9	33.049	33.0496	26.5771	26.5771	0.0016	0.000175	0.0007	0.00E+00
10.101	-1.104	-1.1001	2.668013	2.668263	6.83E+01	362.448	33.0625	0.000262	0.0041	81.7032	-67.51152	-70.5906	2.2883	0	0.004	33.0617	33.0607	-0.001	0.000249	10	33.0617	33.0607	26.5859	26.5859	0.004	0.000249	-0.001	0.00E+00
11.111	-1.1619	-1.1625	2.669279	2.668552	5.76E+01	357.323	33.137	-0.000709	-0.0008	82.1524	-67.51152	-70.5906	2.2415	0	-0.0006	33.1424	33.1332	-0.0088	-0.000727	11	33.1423	33.133	26.6531	26.6531	-0.0006	-0.000727	-0.0088	0.00E+00
12.121	-1.3459	-1.344	2.663294	2.663185	4.80E+01	352.358	33.2692	-0.0001	0.0021	82.6439	-67.51152	-70.5906	2.168	0	0.002	33.2641	33.2605	-0.0037	-0.000109	12	33.2641	33.2605	26.7576	26.7576	0.002	-0.000108	-0.0037	0.00E+00
13.131	-1.3716	-1.3712	2.662823	2.662563	4.10E+01	346.453	33.2897	-0.000249	0.0004	82.9741	-67.51152	-70.5906	1.9188	0	0.0004	33.2857	33.2817	-0.0039	-0.00026	13	33.2857	33.2817	26.7758	26.7758	0.0004	-0.00026	-0.0039	0.00E+00
14.142	-1.53	-1.5201	2.655351	2.655788	3.70E+01	340.503	33.3655	0.000421	0.0099	84.4002	-67.51152	-70.5906	1.7927	0	0.0099	33.3593	33.3542	-0.0053	0.000437	14	33.3593	33.3542	26.8401	26.8401	0.0099	0.000437	-0.0053	0.00E+00
15.152	-1.6518	-1.6408	2.649321	2.649519	3.35E+01	336.852	33.4154	0.000181	0.011	84.666	-67.51152	-70.59058	1.8369	0	0.0111	33.412	33.4023	-0.0099	0.000198	15	33.412	33.4023	26.8861	26.8861	0.0111	0.000198	-0.0099	0.00E+00
16.162	-1.7072	-1.7043	2.647313	2.647226	2.95E+01	334.744	33.4541	-0.000079	0.003	85.3441	-67.51152	-70.59058	1.9233	0	0.003	33.4459	33.4414	-0.0045	-0.000087	16	33.4459	33.4414	26.9151	26.9151	0.003	-0.000086	-0.0045	0.00E+00
