,x
N20.HOG0023590,-0.482806582234214
N20.HOG0021536,-0.373422655676697
N20.HOG0024575,-0.244232213354444
N20.HOG0029626,17.6457884419597
N20.HOG0036695,-14.4438584543757
N20.HOG0034756,-1.33767936351443e-08
N20.HOG0016222,-1.67310060258095
N20.HOG0039338,-0.0111955849449601
N20.HOG0017113,-12.2048822224514
N20.HOG0012081,-23.205648010364
N20.HOG0019047,-2.69819395055803
N20.HOG0025656,-3.02640914832029
N20.HOG0021023,-1.3642794157074
N20.HOG0034254,-0.759809446879925
N20.HOG0009934,-6.54696829032093
N20.HOG0033608,-26.4862811287708
N20.HOG0032884,30.5066354102889
N20.HOG0029155,-7.25268215329098e-09
N20.HOG0022511,-15.3561087145345
N20.HOG0047447,-27.3107020577008
N20.HOG0024920,-28.1713044939126
N20.HOG0027081,-0.0832639783634225
N20.HOG0037732,-10.5995555356763
N20.HOG0021534,-10.0172799602969
N20.HOG0023295,0.121414729288563
N20.HOG0001085,0.000144457864846365
N20.HOG0033983,-9.16952235998547
N20.HOG0019359,-18.5332258922908
N20.HOG0028619,10.8730881156558
N20.HOG0043181,-26.0780515405446
N20.HOG0011659,0.927124576905091
N20.HOG0017496,24.3449436588294
N20.HOG0035831,-13.0835489494647
N20.HOG0049823,-3.25460519961747e-14
N20.HOG0015535,3.0324920864982
N20.HOG0020720,-0.000359081410580253
N20.HOG0009389,-21.0347040381699
N20.HOG0025143,-6.87304591931844
N20.HOG0027403,-0.0206133254828377
N20.HOG0043697,0.0575865401509541
N20.HOG0051900,14.7079786312707
N20.HOG0034429,18.8771822256155
N20.HOG0049649,21.0148518874002
N20.HOG0006312,-0.625309940342416
N20.HOG0022510,-0.000596883869662389
N20.HOG0031621,0.436209050334436
N20.HOG0049661,-11.4966774595316
N20.HOG0034370,-1.60457739923841
N20.HOG0008892,-23.1186248810459
N20.HOG0035054,-4.03069333418725e-06
N20.HOG0025363,-6.46462214726405
N20.HOG0035508,-5.3393760500099
N20.HOG0027230,-8.23201845352009
N20.HOG0016508,9.99813270198206e-08
N20.HOG0024698,-0.00629213719330877
N20.HOG0032188,-15.0952721067522
N20.HOG0030608,-11.5635614726289
N20.HOG0003315,-7.59433354570861
N20.HOG0038861,-32.4730284838912
N20.HOG0028249,2.83398116584188e-06
N20.HOG0029817,-19.4274773178347
N20.HOG0002643,-0.00409995441548641
N20.HOG0015038,0.000657683668285988
N20.HOG0028632,0.870188894352911
N20.HOG0028812,0.724807660999193
N20.HOG0024190,0.00486849711055589
N20.HOG0036691,-1.12654408517952
N20.HOG0032426,4.33947359948979e-16
N20.HOG0040241,-0.862776229143974
N20.HOG0032534,-6.53847630640376
N20.HOG0031294,-1.7179818828983e-09
N20.HOG0041311,-23.862140275007
N20.HOG0017243,3.62933670043568
N20.HOG0013976,-0.1356437496413
N20.HOG0048055,5.42019662556307
N20.HOG0007065,-2.80725368789235e-12
N20.HOG0025167,-18.4647688213852
N20.HOG0030568,-1.04573448623507e-06
N20.HOG0030559,-0.00174776987433733
N20.HOG0035995,-1.00723195807298
N20.HOG0021447,3.43770558014073
N20.HOG0002331,-1.12400367804294e-06
N20.HOG0032995,-0.387594133312938
N20.HOG0027410,-3.26542495391483e-11
N20.HOG0036074,-13.7810044911682
N20.HOG0015642,8.63456100997153
N20.HOG0002744,-6.70517880382781
N20.HOG0018206,-16.7725907468143
N20.HOG0041033,-4.03590331303757e-12
N20.HOG0002627,-1.2912826940901e-12
N20.HOG0013503,-18.8759074251607
N20.HOG0037353,-0.0228091440203964
N20.HOG0021046,-7.01633802290765
N20.HOG0033440,-2.32193226493811e-10
N20.HOG0034904,-2.93453596053635
N20.HOG0027859,9.2548278490368
N20.HOG0016522,-0.000188894833615575
N20.HOG0009374,-6.31189106370603e-08
N20.HOG0040094,-5.6307519539217
N20.HOG0025121,-1.98914645699128e-05
N20.HOG0061644,-0.296165106574792
N20.HOG0028599,1.20151229191173
N20.HOG0017442,0.998346896775143
N20.HOG0017588,-9.68570710132407
N20.HOG0026392,-10.7874804238184
N20.HOG0036110,-27.1402209030868
N20.HOG0011411,2.3520414614425e-10
N20.HOG0018057,-12.4871721537718
N20.HOG0047373,0.44815946842413
N20.HOG0014660,11.7635696028677
N20.HOG0012656,1.25492857686894
N20.HOG0030305,-5.57919503849481
N20.HOG0023794,-1.82153404767002e-07
N20.HOG0023337,0.630299532026856
N20.HOG0033583,-0.146595909498296
N20.HOG0014157,22.3938788445018
N20.HOG0035092,0.000104808993238585
N20.HOG0002677,0.00025704116153936
N20.HOG0031914,-1.47292526134767
N20.HOG0013175,9.28542638800026
N20.HOG0013169,3.20729015627835e-07
N20.HOG0031779,-1.41839788551348e-06
N20.HOG0037576,1.02235815163896
N20.HOG0029827,-0.0882454932019366
N20.HOG0003733,-0.0341774053276908
N20.HOG0047574,-3.08025510213752
N20.HOG0020290,16.1451773886634
N20.HOG0024581,-4.78354639786393e-12
N20.HOG0011991,-25.2529122834159
N20.HOG0015918,0.190621773590509
N20.HOG0036228,-25.9377109323542
N20.HOG0026906,21.1719723743669
N20.HOG0028670,-8.51870354677766
N20.HOG0039948,-11.6016551186527
N20.HOG0039238,-19.7582107625359
N20.HOG0005231,-11.2500464817041
N20.HOG0011376,-0.467026754116808
N20.HOG0014456,4.92723794344136e-10
N20.HOG0024711,-0.374560688873746
N20.HOG0043012,11.0213053776147
N20.HOG0027193,-4.9601209414956e-06
N20.HOG0027915,-7.40282224433525
N20.HOG0041305,5.34544018892628
N20.HOG0014283,-18.2900932441833
N20.HOG0026089,4.19675313446018e-12
N20.HOG0020377,7.99229811489752
N20.HOG0029321,-0.691718965559254
N20.HOG0013181,-14.1758874620372
N20.HOG0029584,7.45245766800854e-11
N20.HOG0016039,-10.6128287957955
N20.HOG0043004,0.165033700257205
N20.HOG0058785,-6.08396364013642
N20.HOG0040033,-0.110407038514006
N20.HOG0040229,-18.9240562462698
N20.HOG0031011,0.479757864811632
N20.HOG0018319,-0.0005053456269485
N20.HOG0047564,-10.4548004159704
N20.HOG0034633,-20.03100600564
N20.HOG0029602,-1.41393257514435
N20.HOG0020036,14.5358805269308
N20.HOG0011456,-8.42132956054044e-09
N20.HOG0040661,-0.00019612584384323
N20.HOG0031256,-22.2863398304277
N20.HOG0036892,17.7556407418724
N20.HOG0031288,-0.205233357436103
N20.HOG0028620,-17.798114493449
N20.HOG0005058,2.76594857820093
N20.HOG0032149,-2.62669581188308e-08
N20.HOG0025289,4.14892748488421e-06
N20.HOG0042609,-2.61480565520945
N20.HOG0000498,21.4252268224224
N20.HOG0013431,13.0188031975228
N20.HOG0029880,-2.24913644722402
N20.HOG0033971,-0.011614772329131
N20.HOG0037944,-15.8936148371291
N20.HOG0048024,-24.7578674945305
N20.HOG0004414,-8.81405533935356
N20.HOG0029711,0.715014015736173
N20.HOG0030111,2.97724533378934e-11
N20.HOG0045192,0.329894640195713
N20.HOG0027398,-0.000211657362566799
N20.HOG0027218,-2.13408719387117
N20.HOG0005203,-2.37150168545663e-07
N20.HOG0045879,-11.9011223544287
N20.HOG0004723,-7.64598046784257
N20.HOG0042786,-0.837116991434577
N20.HOG0036880,-0.0726473390684367
N20.HOG0029641,-9.32285933908513e-05
N20.HOG0009998,-0.902483095207242
N20.HOG0015640,3.77652055257285e-09
N20.HOG0027844,-2.225928161278e-11
N20.HOG0033276,-2.65145335888078e-08
N20.HOG0024352,1.06501540589339e-09
N20.HOG0035478,-3.93973426771527e-05
N20.HOG0032961,-0.000242075024653473
N20.HOG0043586,-21.9914058722347
N20.HOG0030080,2.58423122334708e-09
N20.HOG0006413,22.0117299520607
N20.HOG0048844,-21.6999048076197
N20.HOG0019270,3.74387942797826
N20.HOG0026506,-0.132790017154173
N20.HOG0033476,-4.42299568098697
N20.HOG0035715,-5.3038595605735
N20.HOG0028418,3.80911007762074e-07
N20.HOG0035229,0.122238425635832
N20.HOG0030266,-8.30972607285435
N20.HOG0027308,-0.0302391186864544
N20.HOG0032569,0.000243449560519371
N20.HOG0029839,-7.54176863186925e-09
N20.HOG0042601,-2.26606390197658e-07
N20.HOG0017440,-2.17087574237367e-05
N20.HOG0019822,14.5265661494492
N20.HOG0038017,0.0209136974760846
N20.HOG0029821,1.1038897592905e-10
N20.HOG0036807,-0.626352633528072
N20.HOG0004358,7.92141748777133
N20.HOG0001069,0.00105557254470451
N20.HOG0015413,5.97568409741403
N20.HOG0001483,9.44612799730885
N20.HOG0031502,2.49601910973866e-07
N20.HOG0037522,2.25920679285932
N20.HOG0005942,9.013762193627
N20.HOG0020129,13.5355135436781
N20.HOG0027054,3.50384161624441e-07
N20.HOG0002592,-16.7183678151539
N20.HOG0022134,5.90548847354839
N20.HOG0030658,-7.73323254785705e-05
N20.HOG0025073,-3.59274101583132
N20.HOG0042532,5.0955168995306
N20.HOG0039553,-0.00208146109515178
N20.HOG0018636,-0.0347364245150033
N20.HOG0028456,-0.426776865794101
N20.HOG0039528,16.3597426939174
N20.HOG0025830,-5.34311024912296
N20.HOG0029273,-3.06958992429839
N20.HOG0029315,-7.31445936324795
N20.HOG0040224,-12.9352488908591
N20.HOG0025652,-5.19192204464886e-05
N20.HOG0043067,-13.4472581649272
N20.HOG0014719,10.6171315094304
N20.HOG0036369,7.10606715601287
N20.HOG0035752,-0.000335398405285982
N20.HOG0022322,-13.1359443965608
N20.HOG0002138,-0.00150791165170014
N20.HOG0031151,-3.02319960740149
N20.HOG0019983,0.00224023333031337
N20.HOG0001036,6.70265465560124e-05
N20.HOG0019285,-14.5100169818634
N20.HOG0026030,-1.34136771331596
N20.HOG0038556,0.481487820150111
N20.HOG0018311,2.04447194213431e-06
N20.HOG0023672,-3.43572744180695e-08
N20.HOG0028193,3.59640285134698e-07
N20.HOG0036577,-0.000417034717741612
N20.HOG0047513,-16.5802928722703
N20.HOG0046404,-12.2602962706204
N20.HOG0033585,-0.000495029355217274
N20.HOG0011634,23.7382393700943
N20.HOG0003983,-0.118797748690291
N20.HOG0011324,0.216392146846098
N20.HOG0017679,0.12165245268565
N20.HOG0031791,-18.5735050489125
N20.HOG0014965,-0.326948527148938
N20.HOG0030297,21.9929650795312
N20.HOG0048176,-2.4405922542045
N20.HOG0026971,5.38181515812059e-12
N20.HOG0016474,-4.32411375905667
N20.HOG0038781,-11.9044862977386
N20.HOG0039498,5.54017886706738e-07
N20.HOG0026203,0.00192251988094131
N20.HOG0039021,6.24890037003357e-09
N20.HOG0044827,7.9274403628486
N20.HOG0014953,-25.8694835489055
N20.HOG0037943,-21.7227851362124
N20.HOG0028968,-0.000121964610406435
N20.HOG0030321,-4.70307398247751e-06
N20.HOG0034546,-1.31339783136702e-06
N20.HOG0024971,-0.193015321419796
N20.HOG0027460,-0.0106509061293319
N20.HOG0034278,-2.74879868641518
N20.HOG0006972,15.0498649402906
N20.HOG0028110,-12.051978346128
N20.HOG0039892,-4.60284561587613
N20.HOG0014162,-0.404325463654228
N20.HOG0054156,0.270476182905831
N20.HOG0016133,-1.19108562333394
N20.HOG0019021,-6.15204053551238
N20.HOG0032412,4.04362796729561
N20.HOG0020107,6.70742418213546
N20.HOG0028945,-0.000147787985605125
N20.HOG0002422,0.245243942840536
N20.HOG0021972,1.04601462680754
N20.HOG0036223,-0.990871319090519
N20.HOG0012163,-0.436458788580761
N20.HOG0035257,-0.00590866749686187
N20.HOG0020010,-4.6624022221328
N20.HOG0016498,-6.85948505578743
N20.HOG0029244,-0.00161795873859065
N20.HOG0033452,1.15313603574305e-09
N20.HOG0042748,-7.00607038152508e-07
N20.HOG0020281,2.26206119350305
N20.HOG0021788,-5.2185971513224
N20.HOG0036104,-1.39490454303164
N20.HOG0010038,14.7774540566444
N20.HOG0023673,0.0573640736167349
N20.HOG0018421,1.55048335446211
N20.HOG0029687,-1.18195549637038
N20.HOG0031477,-2.11456762543486e-11
N20.HOG0035095,-0.000228825785872803
N20.HOG0006717,-4.54078047758212
N20.HOG0037880,0.00103410788251373
N20.HOG0001473,18.9250091301554
N20.HOG0035191,-5.14074309356493e-05
N20.HOG0004065,-0.00909557421971336
N20.HOG0028124,-0.00565120440492817
N20.HOG0030030,-6.77499593003194e-10
N20.HOG0015662,-3.40786964101263
N20.HOG0035678,-0.000205712476617969
N20.HOG0020367,3.08421706151397
N20.HOG0036766,-8.98343508142789
N20.HOG0022363,-9.63961174941598e-07
N20.HOG0010200,-16.872537959095
N20.HOG0036585,-3.24956104639534
N20.HOG0022461,-6.79655209846251
N20.HOG0036613,-25.6055487533047
N20.HOG0026980,-0.0011798997104677
N20.HOG0034838,7.88840244472828e-07
N20.HOG0040526,1.7784835288435e-07
N20.HOG0016781,9.17865483665401
N20.HOG0027284,16.8023165533018
N20.HOG0065960,0.527857368208791
N20.HOG0019711,-1.5157182350842
N20.HOG0007410,-17.2710031089768
N20.HOG0013304,0.00907980848621748
N20.HOG0023610,-1.76753278067751
N20.HOG0029728,-0.285081731275401
N20.HOG0033174,1.47461098900497e-10
N20.HOG0036705,2.32145312104846
N20.HOG0027573,-7.08403945013072
N20.HOG0044500,-23.6433094317708
N20.HOG0002644,5.5816180848815e-07
N20.HOG0027689,2.16783417898691
N20.HOG0008717,-14.0269880500921
N20.HOG0040710,0.845496061644639
N20.HOG0004066,0.000437860792442267
N20.HOG0030883,-4.1151443585633
N20.HOG0017532,0.6380579625653
N20.HOG0030613,0.000105493779558083
N20.HOG0029645,-5.6565460062354
N20.HOG0002549,-5.68091301640526
N20.HOG0020371,11.2883832073497
N20.HOG0038190,-5.87502684838446
N20.HOG0024770,5.10904422040755
N20.HOG0015394,-3.20098112421772
N20.HOG0026979,-4.05633662552555
N20.HOG0035071,-6.04534113092706e-08
N20.HOG0012307,0.000102214609414484
N20.HOG0030323,-1.88001956766653e-07
N20.HOG0028840,-0.000249974782296088
N20.HOG0040423,-0.0228824295503594
N20.HOG0025582,-1.1151212190356e-06
N20.HOG0011100,-33.5264890849923
N20.HOG0031250,1.30509199682356e-07
N20.HOG0043615,-5.8312586362542
N20.HOG0017040,-2.5960655537217e-06
N20.HOG0029334,-2.0005889409349e-10
N20.HOG0013311,-2.09015017859614
N20.HOG0012809,-13.2286534066006
N20.HOG0017026,-0.0074684314386967
N20.HOG0016525,-3.1319535944259
N20.HOG0030718,-1.25171913570483e-07
N20.HOG0020380,0.034091506672932
N20.HOG0031167,-1.38798521357024e-09
N20.HOG0012689,0.0157637717795038
N20.HOG0035739,-12.0326562865055
N20.HOG0018027,-0.152941616927364
N20.HOG0029925,-4.09261338091734
N20.HOG0029375,-0.0311609287970943
N20.HOG0052798,-5.03800959937558
N20.HOG0037118,-5.84208474342407e-09
N20.HOG0025096,-1.97031584407128e-05
N20.HOG0065954,-5.10539785583153e-09
N20.HOG0006178,0.00511253097707754
N20.HOG0025868,-1.61231323726183e-06
N20.HOG0040086,-1.32784954308684
N20.HOG0027402,3.27173108916613e-08
N20.HOG0037598,-3.79321984385893
N20.HOG0009716,-7.24480391570484
N20.HOG0011453,-0.000738823981151006
N20.HOG0020056,7.75951718738984
N20.HOG0039967,-10.7656259055931
N20.HOG0031341,-0.0653499695088064
N20.HOG0003657,4.0810177188377
N20.HOG0047562,0.259121496528867
N20.HOG0005059,0.0902126901877261
N20.HOG0023489,-1.87775446394195
N20.HOG0043638,-0.037185950475107
N20.HOG0018907,3.57396381156653e-05
N20.HOG0001062,1.84944299707134
N20.HOG0029267,-5.4813601515633
N20.HOG0041020,-4.30198166022803
N20.HOG0032131,5.83336342687338e-10
N20.HOG0027444,5.00610957940534e-08
N20.HOG0037229,2.97091296112061
N20.HOG0040269,1.63063681949496
N20.HOG0034293,-4.60208376812084e-05
N20.HOG0034851,10.5968570564435
N20.HOG0027707,0.273696894433166
N20.HOG0014377,6.75508572463642
N20.HOG0032859,3.02951882824384
N20.HOG0038612,-3.76750716692525
N20.HOG0034808,-0.127139806447571
N20.HOG0037639,-2.84105491566246
N20.HOG0032134,-0.0368937807265917
N20.HOG0042749,5.24789550837129
N20.HOG0024301,2.72671057507563
N20.HOG0031919,8.09797365939241e-10
N20.HOG0035088,-0.0189060786524827
N20.HOG0012337,-0.636416637702839
N20.HOG0014706,6.16830079947897
N20.HOG0028965,0.859194834740129
N20.HOG0031883,-6.81165434393773e-07
N20.HOG0002946,-24.1346798310553
N20.HOG0025563,5.51283437997643e-06
N20.HOG0042943,0.127065507625946
N20.HOG0037864,-1.24690489633355
N20.HOG0006446,0.00798028045025108
N20.HOG0016278,15.9648402913073
N20.HOG0019915,-1.82461225660311
N20.HOG0023388,9.10859458823995e-07
N20.HOG0027612,-0.000943111299650142
N20.HOG0017943,0.00016357219765408
N20.HOG0050547,-14.30981110532
N20.HOG0006128,2.54190432532012
N20.HOG0043029,19.4383313451427
N20.HOG0046463,-9.96275471648294e-05
N20.HOG0001879,3.45435983002226
N20.HOG0011416,-13.1226380231387
N20.HOG0018048,-8.08531322903529
N20.HOG0010896,-0.239340331305985
N20.HOG0043797,11.7924888791246
N20.HOG0027827,-8.85492744394253e-06
N20.HOG0003313,-30.1881083465074
N20.HOG0042529,-0.192225350796381
N20.HOG0006704,-1.39231133874673
N20.HOG0024492,8.73510236056876
N20.HOG0028780,7.77044478005957e-05
N20.HOG0008244,-2.63424563375299e-09
N20.HOG0002642,-0.300005500188142
N20.HOG0036950,7.83775668805853
N20.HOG0036103,9.13260541330514e-11
N20.HOG0028954,-12.6915729788759
N20.HOG0023182,3.69089783515955
N20.HOG0065911,0.00130118306036063
N20.HOG0025828,-0.00145097360606622
N20.HOG0014346,11.5790685971868
N20.HOG0032715,-4.71932443107017
N20.HOG0026974,-0.326395877984246
N20.HOG0044937,-5.96554110354776
N20.HOG0027272,8.13250888788041e-05
N20.HOG0050577,-2.50367518689112
N20.HOG0025724,1.25076730844869e-08
N20.HOG0032127,1.56024944202216e-07
N20.HOG0035503,-0.0281793891509589
N20.HOG0002954,6.54004695934798
N20.HOG0025379,-0.000334201329419649
N20.HOG0048041,2.83625938104624
N20.HOG0014280,-0.895516218204248
N20.HOG0020189,-2.76194373997448e-06
N20.HOG0054385,-3.49699123275727
N20.HOG0036317,-13.7640524950941
N20.HOG0046316,-0.474873988652118
N20.HOG0043532,-29.1311385057644
N20.HOG0014368,-1.89174245983731e-06
N20.HOG0024154,5.85181554866707
N20.HOG0023208,-13.8824315164227
N20.HOG0009948,-0.434568884498339
N20.HOG0003334,1.66631485649961
N20.HOG0042175,0.000397359308411215
N20.HOG0023803,-0.000334519083295854
N20.HOG0030421,-1.57990900088269
N20.HOG0024567,-0.0129531137873896
N20.HOG0036608,1.07439916900278
N20.HOG0032812,-1.62478368307261e-09
N20.HOG0025080,-0.433723748071602
N20.HOG0030174,11.0857019888664
N20.HOG0025601,-0.255758563533595
N20.HOG0036635,1.28088915296956e-08
N20.HOG0027791,-0.012160672400559
N20.HOG0012173,0.0899148480182111
N20.HOG0028628,-4.2799077279326e-06
N20.HOG0017205,-4.48415666928325e-05
N20.HOG0037070,-2.23172691673939
N20.HOG0015244,-1.15019955679094e-06
N20.HOG0036889,14.1542328842344
N20.HOG0029785,0.000215738605179854
N20.HOG0028545,-1.30038600189841
N20.HOG0032034,-5.99335102247199
N20.HOG0035523,-0.167128176019754
N20.HOG0032985,-4.22969699718585e-06
N20.HOG0036303,13.4476729636407
N20.HOG0036396,0.942383476814407
N20.HOG0029570,-0.179269755575649
N20.HOG0027638,-0.000443935720448766
N20.HOG0026260,-4.30765007419436
N20.HOG0030866,-0.573025616551896
N20.HOG0037340,5.08118609875549e-07
N20.HOG0033411,7.0564195960313e-07
N20.HOG0021965,1.84188753505756e-08
N20.HOG0009226,18.542015266783
N20.HOG0036529,6.84012596423334
N20.HOG0017103,-3.12913060118521
N20.HOG0037147,6.41756752907563e-05
N20.HOG0041614,-1.69978622994994e-08
N20.HOG0025789,-1.23275850476859
N20.HOG0020277,-14.5814470936903
N20.HOG0024789,-10.5720466383758
N20.HOG0029575,-0.0311500577731727
N20.HOG0022962,-0.00285516903396052
N20.HOG0029873,-0.0693199761407309
N20.HOG0043780,0.0163071669500584
N20.HOG0044286,0.318485864166314
N20.HOG0058912,0.0800661988128452
N20.HOG0042079,-0.169358097970145
N20.HOG0015044,15.5009935706037
N20.HOG0027440,-15.0413345327294
N20.HOG0031624,1.16858712706615
N20.HOG0032854,-0.00480724619184092
N20.HOG0020526,-1.20897232404628e-07
N20.HOG0030263,3.97628602755399e-08
N20.HOG0016750,-7.40027200482101
N20.HOG0020554,-0.164129515287032
N20.HOG0029289,-1.61470412074513e-07
N20.HOG0044372,0.172320035650963
N20.HOG0002326,-0.846383877177785
N20.HOG0031851,-4.84466113428087e-07
N20.HOG0021177,-4.45976365188308
N20.HOG0050742,2.70125814196481
N20.HOG0024145,-0.0101986738191266
N20.HOG0035550,14.1047397929465
N20.HOG0029667,-0.170440392364893
N20.HOG0001972,-1.15637258608742
N20.HOG0041950,-1.55448003853058e-05
N20.HOG0020693,-0.0109413300775447
N20.HOG0061869,0.000672660847377323
N20.HOG0034252,-2.95896764883373e-08
N20.HOG0040157,-0.0276137566320993
N20.HOG0030439,-1.46462173848573
N20.HOG0030270,7.47333398403538
N20.HOG0011192,8.99213305768923
N20.HOG0044754,-0.359967461741016
N20.HOG0016057,10.0879266029678
